text_asli,stem_text,label
bhabinkamtibmas desa rancapanggung melaksanakan giat sambang ke masyarakat,bhabinkamtibmas desa rancapanggung laksana giat sambang masyarakat,neutral
bhabinkamtibmas desa cililin melaksanakan giat sambang ke masyarakat,bhabinkamtibmas desa cililin laksana giat sambang masyarakat,neutral
bhabinkamtibmas desa cipatik melaksanakan giat sambang ke masyarakat,bhabinkamtibmas desa cipatik laksana giat sambang masyarakat,neutral
bhabinkamtibmas desa citapen melaksanakan giat sambang ke masyarakat,bhabinkamtibmas desa citapen laksana giat sambang masyarakat,neutral
bhabinkamtibmas desa batulayang melaksanakan giat sambang ke masyarakat,bhabinkamtibmas desa batulayang laksana giat sambang masyarakat,neutral
bhabinkamtibmas desa bongas melaksanakan giat sambang ke masyarakat,bhabinkamtibmas desa bongas laksana giat sambang masyarakat,neutral
bhabinkamtibmas desa batulayang gmelaksanakan giat sambang ke masyarakat,bhabinkamtibmas desa batulayang gmelaksanakan giat sambang masyarakat,neutral
polri presisi buktikan komitmen untuk rakyat,polri presisi bukti komitmen rakyat,positive
tidak ada uu tni dan,tni,neutral
payah,payah,negative
lapor pak ini selebgram meresahkan banget promosiin judi online secara terang an bahkan setiap hari live judol di ig nya,lapor pak selebgram resah promosiin judi online terang bahkan hari live judol,negative
tangkep orang ini pak kapolri,tangkep orang pak kapolri,negative
usut tuntas mohon pak sudah ada laporan tapi tidak ada tindakan masa harus viral dulu ini,usut tuntas mohon pak lapor tindak masa viral dulu,negative
wong edan kowe ki mbah suwi suwi raono sing peduli wkwk,wong edan kowe mbah suwi suwi raono sing peduli wkwk,negative
lapor balik orangtua murid yang melaporkan beserta anak murid tersebut orangtuanya pecat dr anggota polri,lapor balik orangtua murid lapor serta anak murid orangtuanya pecat anggota polri,negative
bapak anak yg di tegur anggota polri ini harus by pass ke bang hotman,bapak anak tegur anggota polri pass bang hotman,neutral
wuahtlg diperhatikan ini pak komandan dan,wuahtlg perhati pak komandan,neutral
mohon perhatiannya,mohon perhati,neutral
jakarta dua putra terbaik polri yakni agus andrianto dan purwadi arianto dipercaya oleh presiden prabowo subianto masuk kabinet merah putih keduanya kini telah menyelesaikan statusnya dari korps bhayangkara,jakarta putra baik polri agus andrianto purwadi arianto percaya presiden prabowo subianto masuk kabinet merah putih dua kini selesai status korps bhayangkara,positive
perkokoh sinergitas tni polri personel tni dari lanud dhomber balikpapan lanal balikpapan dan kodim balikpapan turut berpartisipasi pada kegiatan donor darah dalam rangka hari ulang tahun ke korps brimob polri di makosat brimob polda kaltim balikpapan,kokoh sinergitas tni polri personel tni lanud dhomber balikpapan lanal balikpapan kodim balikpapan turut partisipasi giat donor darah rangka hari ulang tahun korps brimob polri makosat brimob polda kaltim balikpapan,neutral
iya bener mulyono yg bisa mengadili hanya allah swt,iya bener mulyono adil allah swt,negative
balikpapan kapolda kaltim irjen pol drs nanang avianto membuka taklimat awal audit kinerja itwasum polri tahap ii tahun aspek pelaksanaan dan pengendalian senin,balikpapan kapolda kaltim irjen pol drs nanang avianto buka taklimat awal audit kerja itwasum polri tahap tahun aspek laksana kendali senin,neutral
alhamdulillah sekarang di perempatan jlrajasapasar gadang tiap pagi sudah ada siaga polri semoga pos polisi gadang juga tiap pagi ada yg siaga dan kolaborasi dg dishub sbb wilayah rawan bila pagi,alhamdulillah sekarang empat jlrajasapasar gadang tiap pagi siaga polri moga pos polisi gadang tiap pagi siaga kolaborasi dishub sbb wilayah rawan pagi,positive
lah lah lah bisa gitu,lah lah lah,negative
bajingannnnnn rusak lagi citra polri gegara orang tua primitif itu ada yg tau siapa itu orang tuanya,bajingannnnnn rusak citra polri gegara orang tua primitif tau orang tua,negative
panjang umur bu supriyani gimana ini pak presiden,panjang umur supriyani gimana pak presiden,neutral
pak bantu ramaikan guru barito yg ditahan karena memarahi seorang siswa siswa tersebut anak polisi sdane sekarang guru tsb masih ditahan mungkin dengan bapak yg bantu angkat temanteman tnipolri bisa aware dan tidak main tangkap menyalahgunakan jabatannya,pak bantu ramai guru barito tahan parah orang siswa siswa anak polisi sdane sekarang guru tahan bapak bantu angkat temanteman tnipolri aware main tangkap menyalahgunakan jabat,negative
kapolres indramayu beserta staf dan bhayangkari mengucapkan selamat hari santri nasional oktober menyambung juang merengkuh masa depan polri,kapolres indramayu serta staf bhayangkari ucap selamat hari santri nasional oktober sambung juang rengkuh masa depan polri,positive
f laporin sklian bro,laporin sklian bro,negative
yang menjadi problem di negara ini berpihak tni dan polri di dalam membela yang salah jadi demokrasi mati,problem negara pihak tni polri bela salah jadi demokrasi mati,negative
oknum ada lagi yang seperti ini,oknum,negative
hayo tangkap orang ini aa,hayo tangkap orang,negative
sekolah sekarang yang penting bayaran lancar pasti naik kelas pasti lulus untuk masuk sekolah favorit gak harus pintar yang penting dekat,sekolah sekarang penting bayar lancar naik kelas lulus masuk sekolah favorit pintar penting dekat,negative
emng polisi ada yng bner yh,emng polisi yng bnernegative,
lh emng polisi rata gtu smua ga ada yng bner,emng polisi rata gtu smua yng bner,negative
ngeri sekalianak polisi di istimewakan sekalianak manja sepertinya atau orang tuanya g becus bapaknya polisi yg di gaji oleh rakyat kan y,ngeri sekalianak polisi istimewa sekalianak manja seperti orang tua becus bapak polisi gaji rakyat kan,negative
ada yang beginian terpantau atau tidak bagaimana cara tangani oknum yang seperti ini tolong atensinya untuk kasus ini ya pak mohon dijadikan perhatian,begini pantau cara tangan oknum atensi kasus pak mohon jadi perhati,negative
polri should be disbanded and keamanan negara ini dikasih ke tni lalu lintas ke pak ogah ya bahkan pak ogah di jalan lebih bener kerjanya ketimbang si halodek baju cokelat itu,polri should disbanded and aman negara kasih tni lalu lintas pak ogah bahkan pak ogah jalan lebih bener kerja ketimbang halodek baju cokelat,negative
oh kalo jadi isilop bebas lakuin apa aja ya,kalo jadi isilop bebas lakuin,negative
kesel banget rakyat konoha sedang diuji kesabarannya baca ini jadi naik darah,kesel rakyat konoha uji sabar baca jadi naik darah,negative
menunggu ajal menjemput bgtulah judul film horor terkini ini lg promo filmnya,tunggu ajal jemput bgtulah judul film horor kini promo film,neutral
live report giat patroli subuh piket sat lantas prabumulih di jl jend sudirman kota prabumulih selasa oktober,live report giat patroli subuh piket sat lantas prabumulih jend sudirman kota prabumulih selasa oktober,neutral
giat patroli subuh piket sat lantas prabumulih di jl jend sudirman kota prabumulih selasa oktober,giat patroli subuh piket sat lantas prabumulih jend sudirman kota prabumulih selasa oktober,neutral
ini termasuk pemerasan ga sih pam,masuk peras pam,negative
hahahahatololgk sekalian dilaporkan ke komnashdanbb kpk,hahahahatololgk sekali lapor komnashdanbb kpk,negative
kelakuan oknum polisi semakin hari semakin buat miris sudah harus segera di perbaiki kinerja polri,laku oknum polisi makin hari makin buat miris segera baik kerja polri,negative
tolong,,negative
akun² begini ini yg perlu di berantas mumpung pemilik akun centang biru,akun perlu berantas mumpung milik akun centang biru,negative
kok seragam nya sama dengan polisi indonesia ya di negara mana sih ini,seragam sama polisi indonesia negara,neutral
menuju indonesia cemas,tuju indonesia cemas,negative
org kakak jadi polisi habis brp ya duit dr mana,kakak jadi polisi habis brp duit,negative
keren banget nih polri dapat apresiasi dari presiden jokowi semoga semakin semangat dalam menjalankan tugas ya,keren polri apresiasi presiden jokowi moga makin semangat jalan tugas,positive
di situlah kerap terjadi aksi tawuran atau kenakalan remaja lainnya jelasnya polri,situ kerap jadi aksi tawur nakal remaja lain jelas polri,negative
si polisinya gak akan dikasih hukuman apapun wajarlah polri kan kepolisian terkorup se asia tenggara,polisi kasih hukum apa wajar polri kan polisi korup asia tenggara,negative
oknum dikumpul kirim saja ke daerah rawan yang bahagia banyak,oknum kumpul kirim daerah rawan bahagia,negative
emang bajingan tuh anak buah listyo sigit prabowo,emang bajing anak buah listyo sigit prabowo,negative
coba periksa nih apakah ada penyalahgunaan wewenang atau anggaran,coba periksa penyalahgunaan wewenang anggar,negative
emg gini ya pak,emg pak,neutral
kelakuan cebong suka main lapor,laku cebong suka main lapor,negative
kalian tangkap itu polisi atau rakyat yg tangkap cc,kalian tangkap polisi rakyat tangkap,negative
kapolres kapolsek tarik saja ke mabes yanma kan,kapolres kapolsek tarik mabes yanma kan,neutral
satu lagi anggota memperburuk citra kepolisianyg mau berpresisi,anggota buruk citra kepolisianyg mau presisi,negative
oknum polisi ini yang seperti ini yang merusak citra institusi polri,oknum polisi rusak citra institusi polri,negative
kawal terus,kawal terus,neutral
perhatikan tulisan sy asn pusat memang cuma ratusan ribu org tp klo mrk pindah dgn anakistri maupun art apalagi klo ditambah pegawai karyawan bumn dan tnipolri bisalah jutaan orang klo diakumulasi,perhati tulis asn pusat cuma ratus mrk pindah anakistri maupun art tambah pegawai karyawan bumn tnipolri bisa juta orang akumulasi,negative
sopir kagak masuk itungan,sopir kagak masuk itungan,neutral
apa tanggapan anda ahhh sudahlah,tanggap ahhh sudah,negative
personil polres tebing tinggi melaksanakan pengecekan personil pengamanan gudang logistik kantor kpu dan kantor bawaslu kota tebing tinggi polri,personil polres tebing tinggi laksana kece personil aman gudang logistik kantor kpu kantor bawaslu kota tebing tinggi polri,neutral
jadi pegawai sipil atau militer jgn sok paling penting paling jago rakyat akan menghormati kalau anda baik sopan merendah kerena anda adalah abdi negara yg dibayar dari uang rakyat,jadi pegawai sipil militer jgn sok paling penting paling jago rakyat hormat baik sopan rendah rena abdi negara bayar uang rakyat,negative
kelakuan macam apa ini kerja gk bener kok dipertahankan gk tau malu sama sekali mesti kenapa harus rakyat yg selalu jadi korban kebejatan instansi satu ini,laku macam kerja bener tahan tau malu sama mesti rakyat jadi korban bejat instansi,negative
wkwkwk pak hanya bisa ketawa melihat aduan inisuhunya saja gak berani nangkep tuh si aki tua peot bau tanah amin rais sama mega tua peyot bau tanah riziq aja amancuma denis bocilnegara ini gak akan bisa maju jika masih ada orang orang yg lapar,wkwkwk pak ketawa lihat adu inisuhunya berani nangkep aki tua peot bau tanah amin rais sama mega tua peyot bau tanah riziq amancuma den bocilnegara maju orang orang lapar,negative
waduh kejar setoran ya pak anggotanya,waduh kejar setor pak anggota,negative
nyuwun tlg giatkan pospolnya utk atur lalin dan adakan rekayasa lalin semisal kendaraan besar silarang lewat area proyek toll harus memutar rr ke timur dulu,nyuwun tlg giat pospolnya atur lalin adakan rekayasa lalin misal kendara besar silarang lewat area proyek toll putar timur dulu,neutral
bhabinkamtibmas desa tanjungwangi melaksanakan giat sambang ke masyarakat,bhabinkamtibmas desa tanjungwangi laksana giat sambang masyarakat,neutral
bhabinkamtibmas desa tanjunngwangi melaksanakan giat sambang ke masyarakat,bhabinkamtibmas desa tanjunngwangi laksana giat sambang masyarakat,neutral
bhabinkamtibmas desa karanganyar melaksanakan giat polisi sahabat anak,bhabinkamtibmas desa karanganyar laksana giat polisi sahabat anak,neutral
mengapa yang seharusnya mengajarkan kita mematuhi malah melanggar terlihat tidak ada kondisi dadurat karena strobo nya tidak hidup,ajar patuh malah langgar lihat kondisi dadurat strobo hidup,negative
kayaknya test polri harus di dahulukan yang punya otak pa,kayak test polri dahulu punya otak,negative
otak mu jgn terlalu diperas sebelum lu baca kronologisnya,otak jgn peras baca kronologis,negative
polri pulangkan wni korban tppo dari filipina,polri pulang wni korban tppo filipina,neutral
ya sekarang tinggal dan jangan belagak bego bagaimana pak,sekarang tinggal jangan bagak bego pak,negative
segitu rendahnya harga diri polantas tangkap pak anak ini,segitu rendah harga diri polantas tangkap pak anak,negative
institusi kepolisian indonesia hancur karena kelakuan aparatnya yang kayak gini,institusi polisi indonesia hancur laku aparat kayak,negative
orang timur,orang timur,neutral
hi sobat polri selalu berhatihati saat kalian menanjak menggunakan mobil ya selalu fokus dan sabar untuk menghindari hal buruk yang akan menganggu pengendara lain atau membahayakan diri kamu sendiri,sobat polri berhatihati kalian tanjak guna mobil fokus sabar hindar buruk menganggu kendara bahaya diri sendiri,neutral
parah viralkan sdane tu ormas bubar bali gak baik aja,parah viralkan sdane ormas bubar bal baik,negative
tindak lg nh pak anak buah nya pak kalimat yg dikeluarkannya sangat menakutkan bagi sipil,tindak pak anak buah pak kalimat keluar takut sipil,negative
ini gimana ceritanya setiap hari di seluruh indonesia oknum polisi semakin menjadi jadi,gimana cerita hari indonesia oknum polisi makin jadi,negative
modal dari keluarga adalah suatu hal tapi toh tidak semua mdanu memliki sepak terjang cemerlang walaupun keluarganya punya uang atau power banyak disana anak pejabat maupun polri dan abri yang tidak jadi apa juga jadi sebaiknya tidak mendiskreditkan org karena keluarga,modal keluarga suatu mdanu memliki sepak terjang cemerlang keluarga punya uang power sana anak jabat maupun polri abri jadi jadi baik diskredit keluarga,negative
gripmulai unjuk kekuatan,gripmulai unjuk kuat,negative
alhamdulillah ibu guru supriyani ditangguhkan penahanannya thanks netizendan,alhamdulillah ibu guru supriyani tangguh tahan thanks netizendan,positive
kalau gak viral mah anteng aja habis viral malah bikin penyangkalan propam gak ada turun sama sekali,viral mah anteng habis viral malah bikin sangkal propam turun sama,negative
ahmad luthfi angkat suara soal isu benturan tnipolri di pilgub jateng cagub jateng ahmad luthfi akhirnya angkat bicara menanggapi maraknya isu dibenturkannya tni dan polri di media sosial terkait pilgub jawa tengah,ahmad luthfi angkat suara soal isu bentur tnipolri pilgub jateng cagub jateng ahmad luthfi akhir angkat bicara tanggap marak isu bentur tni polri media sosial kait pilgub jawa tengah,positive
kapolres donggala menghadiri kegiatan rapat koordinasi finalisasi persiapan pelaksanaan debat publik ke antar pasangan calon bupati dan calon wakil bupati kab donggala tahun,kapolres donggala hadir giat rapat koordinasi final siap laksana debat publik antar pasang calon bupati calon wakil bupati kab donggala tahun,neutral
kalian pasti ada maen jg dg kasus ini dan pastinya dapat upeti dong dr kasus ini sdane memecat ipda rusdi semua rakyat udah yakin dan mengutuk institusi ini klo ga tuntas selesain kasus ini,kalian maen kasus pasti upeti dong kasus sdane pecat ipda rusdi rakyat yakin kutuk institusi tuntas selesain kasus,negative
jahaha negara kalah sama preman aparat kalah sama kroco,jahaha negara kalah sama preman aparat kalah sama kroco,negative
selama bikin sim masih bayar bikin skck masih bayar gak ada yg bisa diarepin dari polisi iya gak bro,bikin sim bayar bikin skck bayar diarepin polisi iya bro,negative
sengketa tanah vila cmiiw villa pisang mas sdh pernah diangkat oleh media lokal bali dan mustahil kalo polisi tidak tau soal sengketa ini,sengketa tanah vila cmiiw villa pisang mas angkat media lokal bal mustahil kalo polisi tau soal sengketa,neutral
waaao luar biasa ini diam saja gerombolan penjahat ngatur rakyat buktikan kalo kamu mau bikin rakyat hidup tentram harusnya gerombolan penjahat ini dikirim ke neraka seperti mengirim para preman ke neraka di philipina,waaao luar biasa diam gerombol jahat ngatur rakyat bukti kalo mau bikin rakyat hidup tentram harus gerombol jahat kirim neraka kirim preman neraka philipina,negative
setiap ada permasalahan selalu disebut oknum namun sepertinya tidak ada tindakan tegas shg selalu para oknum tsb selalu bertambah kenapa gak dibentuk mabes oknum aja sekalian pak pak,masalah sebut oknum seperti tindak tegas shg oknum tambah bentuk mabes oknum sekali pak pak,negative
ngentod dibali enak,ngentod bal enak,negative
bagi pejabat tidak gawat min tak berdaya karena uang,jabat gawat min tak daya uang,negative
pejabat cuma sebagai pelengkap,jabat cuma lengkap,negative
kalah dengan uang min,kalah uang min,negative
guru aja dipalak ga ada adab,guru palak adab,negative
jadi polisi ini berniat merdanok seorang guru honorer pak bapak sebagai pimpinan polri tidak ada harga dirinya dinata bawahan masa seorang pimpinan di lecehkan sama perbuatan anggota begini kalo ga disanksi tegas ya bener anda pimpinan dungu,jadi polisi niat merdanok orang guru honorer pak bapak pimpin polri harga diri dinata bawah masa orang pimpin leceh sama buat anggota kalo sanksi tegas bener pimpin dungu,negative
institusi sdanah isinya oknumoknum yg merusak citra polri kalau atasannya aja korup gimana yg bawahnya udah bener di ungkap bukanya dapet apresiasi malah dapet ancaman dongokk,institusi sdanah isi oknumoknum rusak citra polri atas korup gimana bawah bener ungkap buka dapet apresiasi malah dapet ancam dongokk,negative
anak buah tidak bisa disiplin maka kepalanya di disiplinkan,anak buah disiplin kepala disiplin,negative
ini negara kaya gak ada polisi kalo ngelihat kaya gini,negara kaya polisi kalo ngelihat kaya,negative
wajib dipenjara biar kapok,wajib penjara biar kapok,negative
orang begini kualitas nya bisa jadi aipda ini bukan oknum ini anggota institusi polri semua harus bertanggung jawab termasuk bos nya yang gagal menertibkan anak buahnya mana restoration justice yang kau ucapkan itu sigit,orang kualitas jadi aipda oknum anggota institusi polri tanggung jawab masuk bos gagal tertib anak buah restoration justice ucap sigit,negative
grib itu ormasnya hercules yg anakbuahnya junjungan lu,grib ormasnya hercules anakbuahnya junjung,negative
berani melawan arus jujur berarti siap tergerus apakah itu slogan polri skrg,berani lawan arus jujur arti siap gerus slogan polri,negative
gelappp,gelappp,negative
live report giat patroli subuh piket sat lantas prabumulih di jl jend sudirman kota prabumulih kamis oktober,live report giat patroli subuh piket sat lantas prabumulih jend sudirman kota prabumulih kamis oktober,neutral
giat patroli subuh piket sat lantas prabumulih di jl jend sudirman kota prabumulih kamis oktober,giat patroli subuh piket sat lantas prabumulih jend sudirman kota prabumulih kamis oktober,neutral
untungnya ada mediasi meskipun laporan sudah masuk meja hijau dan tidak bisa resto justice,untung mediasi lapor masuk meja hijau resto justice,neutral
bukane uu sudah berubah militer atau polri aktif bisa isi jabatan publik g da ruang bagi warga biasa,bukane ubah militer polri aktif isi jabat publik ruang warga biasa,neutral
keluarga besar ssdm polri mengucapkan selamat atas dilantiknya komjen pol purn drs agus andrianto sh mh sebagai menteri imigrasi dan pemasyarakatan dalam kabinet merah putih periode semoga amanah besar yang diemban dapat dilaksanakan dengan penuh tanggung jawab,keluarga besar ssdm polri ucap selamat atas lantik komjen pol purn drs agus andrianto menteri imigrasi masyarakat kabinet merah putih periode moga amanah besar emban laksana penuh tanggung jawab,positive
bukan cm timnas yg butuh naturalisasi ndanaknya pak presiden salah nempatkan pak erick thohir di kemenbumn,timnas butuh naturalisasi ndanaknya pak presiden salah nempatkan pak erick thohir kemenbumn,neutral
hari lagi menuju pilkada serentak tahun polri,hari tuju pilkada serentak tahun polri,neutral
yaaah balik lagi dah polisinya,yaaah balik dah polisi,negative
liciknya itu tni dan polri dari kabinet jokowi menutup gerak prabowo,licik tni polri kabinet jokowi tutup gerak prabowo,negative
melawan ptdh rudy soik polisi pengungkap penimbunan bbm di ntt berniat datangi mabes polri,lawan ptdh rudy soik polisi ungkap timbun bbm ntt niat datang mabes polri,neutral
pecat anggota bapak gak pantas ada intansi kepolisian ri model begini pak itu guru gak bersalah dan,pecat anggota bapak pantas intansi polisi model pak guru salah,negative
kamu aja tunggu ditangkap kalau pak jokowi itu kesayangan rakyat indonesia begitu bro,tunggu tangkap pak jokowi sayang rakyat indonesia bro,negative
politik comberan ala mulyono,politik comberan ala mulyono,negative
jenderal brengsek ah polisi,jenderal brengsek polisi,negative
kalau benar juber ini sebaiknya di atensi oleh,benar juber baik atensi,neutral
halo tangkap itu pemilik akun catatanali jangan sdanai terlambat mengantisipasi hal buruk,halo tangkap milik akun catatanali jangan sdanai lambat antisipasi buruk,negative
jalin kedekatan dengan warga kanit binmas polsek senori polres tuban polda jatim ikuti kerja bhakti bersama warga desa medalem,jalin dekat warga kanit binmas polsek senori polres tuban polda jatim ikut kerja bhakti sama warga desa medalem,positive
semoga pak prabowo tegas,moga pak prabowo tegas,neutral
live report giat patroli subuh piket sat lantas prabumulih di jl jend sudirman kota prabumulih jumat oktober,live report giat patroli subuh piket sat lantas prabumulih jend sudirman kota prabumulih jumat oktober,neutral
giat patroli subuh piket sat lantas prabumulih di jl jend sudirman kota prabumulih jumat oktober,giat patroli subuh piket sat lantas prabumulih jend sudirman kota prabumulih jumat oktober,neutral
penjual seprei ada ajah gebrakannya ngedoain yg jelek jelek mulu blm menang giveaway kali tuh orang,jual seprei ajah gebrak ngedoain jelek jelek mulu blm menang giveaway kali orang,negative
kalo ini benar adanya sebaiknya polri direinstall saja kalo msih dipertahankan akan semakin blunder,kalo benar ada baik polri direinstall kalo msih tahan makin blunder,negative
ini intervensi namanya agar kasus seakan surpriyani yg melakukan padahal sudah sidang tak ada kaitannya lagi dengan kepolisian semua bakal terbuka dipersidangan kenapa polisi yg malah jadi seakan takut kalau terbuka bukti polri tidak netral di kasus ini,intervensi nama kasus akan surpriyani laku padahal sidang tak kait polisi bakal buka sidang polisi malah jadi akan takut buka bukti polri netral kasus,negative
jt sih mayan mak,mayan mak,neutral
khawarij medsos tolol yg sok jago kau ni ni sdh masuk pengancaman lo nanti di datangi densus kau ini nangis dan playing victim malu in umat islam sj kau ini,khawarij medsos tolol sok jago masuk ancam datang densus nang playing victim malu umat islam,negative
istri si wibowo harus gantian dipenjarakan karena pembohongan publik dan memfitnah orang lain si wibowobjg harus kena sanksi karena aparatur negara tp tidak bisa mendidik keluarganya,istri wibowo ganti penjara bohong publik fitnah orang wibowobjg kena sanksi aparatur negara didik keluarga,negative
heran tapi ini indonesia masak iya sekelas guru honorer bs bayarin aksi segitu banyak dan bayar buzzer mereka bergerak krn empati dan simpati pada sang guruwoy dimane lu diem bae ngapain aja lu masak yg gini² lu pada ga tau sik,heran indonesia masak iya kelas guru honorer bayarin aksi segitu bayar buzzer gerak empati simpati sang guruwoy dimane diem bae ngapain masak gin tau sik,negative
ini sangat memalukan sekali kelakuan para oknum wereng coklat mulai dari pelaku dan para penyidik kelihatan sekali memaksakan kasus yg tdk sesuai dgn pakta alias asal jdi perkara bisa di sidangkan tlg bpk di evaluasi para oknum initkd profesional,malu laku oknum wereng coklat mulai laku sidik lihat paksa kasus sesuai pakta alias asal jdi perkara sidang tlg bpk evaluasi oknum initkd profesional,negative
pak kopolri tolong hal ini disikapi dgn se adil²nx anak buah bpk ini sebaiknya dipecat sj karena tabiat yg buruk tdk ada kompromi pemerasan menambah daftar buruk institusi polri bagaimana rakyat mau percaya ke polri jika trus spti ini ayomi lah kami lindungi kmi rakyat,pak kopolri sikap adil nx anak buah bpk baik pecat tabiat buruk kompromi peras tambah daftar buruk institusi polri rakyat mau percaya polri trus spti ayom lah lindung kmi rakyat,negative
para pensiunan pns tni polri yg berutang ke bank jaminan sk pensiun terpaksa meminjam krn kebutuhan krn gaji kecil juga pasti ngiri mereka pensiunan mengabdi kpd negara ini puluhan tahun yg dr tni polri mempertahankan nkri harga mati dgn pertaruhkan jiwa raga,pensiun pns tni polri utang bank jamin pensiun paksa pinjam butuh gaji kecil ngiri pensiun abdi kpd negara puluh tahun tni polri tahan nkri harga mati taruh jiwa raga,negative
jaga persatuan dan kesatuan mari kita jaga persatuan dan kesatuan di tengah keberagaman jangan biarkan perbedaan pilihan memecah belah kita official polres tuban,jaga satu satu jaga satu satu tengah agam jangan biar beda pilih pecah belah official polres tuban,neutral
berarti pelanggaran hukum di daerah sangat masif ya kasus mafia mafia seperti ini bisa jadi sudah biasa kepada yth presiden ri tolong benahi dengan tegas polri jika penegak hukum rusak bagaimana bisa anda memakmurkan nkri,arti langgar hukum daerah masif kasus mafia mafia jadi biasa yth presiden benah tegas polri tegak hukum rusak makmur nkri,negative
berarti kinerja polri harus diperbaiki anggota polri yg terlibat dikasus ini seharusnya dipecatdan,arti kerja polri baik anggota polri libat kasus dipecatdan,negative
tangkap orang ini pak udah menantang petugas,tangkap orang pak tantang tugas,negative
akun meresahkan,akun resah,negative
selamat memperingati hari peradaban orang papua ke tahun,selamat ingat hari adab orang papua tahun,positive
warming keras nih buat kejaksaan agung jangan sdanai kasus cirebon terjadi di seluruh nkri harapan kita tinggal kejaksaan yang bisa memvalidasi kasus dg baik karena kita berharap polri ada pembenahan tapi terus aja terjadi kasus semacam ini harus ada lembaga lain yg kredible,warming keras buat jaksa agung jangan sdanai kasus cirebon jadi nkri harap tinggal jaksa memvalidasi kasus baik harap polri benah terus jadi kasus macam lembaga kredible,negative
aku berharap di pemerintahan pak prabowo bisa ditindak dg tegas tapi yg jadi pertanyaan apakah berani menangkap nya banyak pendakwah memprovokasi warga yg tujuan nya buat gaduh nkri contoh wayang yg adalah budaya luhur nusantara di bilang haram dan banyak lagi contoh lainnya,harap perintah pak prabowo tindak tegas jadi tanya berani tangkap dakwah provokasi warga tuju buat gaduh nkri contoh wayang budaya luhur nusantara bilang haram contoh lain,negative
nama negara bainya ga usah dicantumkan dispanduk jika untuk buat keonaran dan keresahan dimasyarakat,nama negara bainya usah cantum spanduk buat onar resah masyarakat,negative
kasus seperti ini selayak mendapat atensi dari,kasus layak dapat atensi,negative
menurut saya jika bu guru supriyani merasa tdk melakukan pemukulan terhadap murid tsb sebaiknya lapor balik ke polda atau mabes untuk pemulihan nama baiknya saya yakin akan dibantu oleh,guru supriyani rasa laku pukul murid baik lapor balik polda mabes pulih nama baik yakin bantu,neutral
ini parahini parahini parah harus dilakukan penegakan hukum yg adil,parahini parahini parah laku tega hukum adil,negative
internal kepolisian krn viral dan bkin gaduh di masyarakat akhirnya masalah jdi membumi baiknya paminal mabes polri turun tangan,internal polisi viral bkin gaduh masyarakat akhir masalah jdi bumi baik paminal mabes polri turun tangan,negative
